"","C_1","C_2","S_1","S_2"
"SEMA3D",2766.6915178059,3017.85637850062,95.1738133368589,95.0473495318544
"KLHL29",2594.51827830625,2371.45440278346,505.84507088488,501.638789195898
"SHOX2",1973.3702065729,1905.04647315015,1046.16254660043,1047.78387698211
"CYBA",2342.88046672984,2245.32718800939,690.946896823496,692.48783230351
"UBR7",1135.01897116307,1077.33662619526,1884.74126411181,1874.54494910046
"NEU1",2401.1544862528,2534.36872186665,516.336672355085,518.234358161777
"SURF6",1292.62370578198,1106.24077958098,1777.57704909472,1788.54972809545
"UBR3",1688.62215663117,1697.46209883448,1288.96818062518,1289.17397103126
"CEP78",760.211072867682,838.220448186067,2175.50850485749,2189.10641540827
"ATPAF1",1369.43945878952,1374.2611109759,1596.97162378619,1621.83969439275
"AATF",1227.72763858596,1182.44263850699,1770.08304804457,1781.00628765641
"CCDC6",1642.26782291973,1701.40357429617,1311.45018377562,1305.01519595324
"MBNL2",2138.92139839949,2113.94467261972,858.06312024176,848.637049391557
"MARK2",1523.07096480459,1609.4358135234,1420.86259910775,1406.09729783632
"SCCPDH",1191.96858115142,1246.82007104793,1761.83964688941,1758.37596633931
"USP40",2030.31981656125,2064.01931677165,929.25613021815,931.614894220953
"PREB",1193.29299068603,1371.63346066811,1696.64183775314,1691.23934643188
"PPARA",2085.94501701498,2053.50871554047,909.022327382755,903.70416459652
"ECHDC1",1227.72763858596,1313.82515389666,1698.14063796317,1709.34360348557
"TBX5-AS1",2932.24270963249,3016.54255334672,0,0
"UXS1",2181.30250350709,2153.35942723662,801.108712260647,807.148126976859
"DARS2",641.01421475254,660.854052410018,2323.14032554538,2312.81883860846
"ZNF282",1499.23159318156,1445.20766928632,1497.30140981925,1494.35555097304
"GPR153",1553.53238410068,1855.12111730208,1258.24277631958,1265.78930567025
"TAF1C",1370.76386832413,1250.76154650962,1653.9260317673,1655.78517636842
"MAGI3",447.650422699088,458.524978709933,2517.23495274417,2504.42222575997
"VPS16",1149.58747604381,1040.54952188615,1870.50266211653,1865.49282057362
"LATS1",1271.43315322818,1371.63346066811,1649.42963113722,1633.15485505131
"COL8A2",2912.3765666133,2887.78768826485,60.7014085061856,60.3475235122885
"ZNF740",1648.88987059279,1552.94133190585,1351.16838934139,1366.11706350943
"BTBD3",1410.49615436251,1350.61225820576,1572.99082042572,1581.85946006586
"ATXN1",2896.48365219794,2722.24571887387,149.880021002927,147.097088561203
"KIAA1549L",2312.41904743375,2341.23642424384,627.997288002266,632.140308791222
