"","C_1","C_2","S_1","S_2"
"SOWAHD",7.81434548587387,10.3207430364888,7.65015173675025,7.68662707750815
"C9orf92",11.7215182288108,11.6108359160499,6.1201213894002,6.14930166200652
"ATP6V0CP3",28.6526001148708,15.4811145547332,0,0
"ATAD3C",5.20956365724924,0,13.0052579524754,9.99261520076059
"GBP1P1",0,0,10.7102124314504,15.3732541550163
"TEX41",16.93108188606,19.3513931934165,2.29504552102508,2.30598812325244
"LINC01204",15.6286909717477,20.6414860729776,2.29504552102508,2.30598812325244
"LINC01424",0,0,14.5352882998255,11.5299406162622
"DRAIC",9.11673640018618,16.7712074342943,5.35510621572518,5.3806389542557
"PICART1",20.838254628997,12.900928795611,3.0600606947001,3.07465083100326
"LINC00920",0,1.2900928795611,13.0052579524754,12.298603324013
"OSGEPL1-AS1",7.81434548587387,2.58018575912219,10.7102124314504,9.22395249300977
"SUGT1P4-STRA6LP-CCDC180",5.20956365724924,2.58018575912219,10.7102124314504,10.7612779085114
"PSMD7-DT",5.20956365724924,6.45046439780549,9.94519725777533,9.22395249300977
"TBX2-AS1",0,0,13.0052579524754,13.0672660317638
"C1orf21-DT",1.30239091431231,0,14.5352882998255,10.7612779085114
"TMDD1",14.3263000574354,14.1910216751721,4.59009104205015,4.61197624650489
"IL21R",15.6286909717477,18.0613003138554,2.29504552102508,3.07465083100326
"EPHX3",5.20956365724924,3.87027863868329,9.94519725777533,9.99261520076059
"PRUNE2",26.0478182862462,15.4811145547332,0,0.768662707750814
"CCL7",23.4430364576216,19.3513931934165,0,0
"SLC46A2",23.4430364576216,3.87027863868329,4.59009104205015,4.61197624650489
"PPP4R4",5.20956365724924,9.03065015692768,8.41516691042528,8.45528978525896
"ACVR1C",9.11673640018618,5.16037151824439,8.41516691042528,8.45528978525896
"KLK14",6.51195457156155,7.74055727736658,9.18018208410031,7.68662707750815
"GRP",13.0239091431231,29.6721362299052,0,0
"LCA5",7.81434548587387,1.2900928795611,9.94519725777533,9.99261520076059
"C6orf52",2.60478182862462,2.58018575912219,12.2402427788004,9.99261520076059
"CFAP74",0,0,13.0052579524754,12.298603324013
"HORMAD1",29.9549910291832,12.900928795611,0,0
"C2orf50",5.20956365724924,5.16037151824439,9.94519725777533,9.22395249300977
"GRIP1",9.11673640018618,3.87027863868329,8.41516691042528,9.22395249300977
"TDRD5",0,0,13.0052579524754,12.298603324013
"SERPINF2",6.51195457156155,10.3207430364888,8.41516691042528,6.91796436975733
"ZBBX",0,0,13.0052579524754,12.298603324013
"FRMPD2",0,5.16037151824439,11.4752276051254,10.7612779085114
"GJC3",14.3263000574354,5.16037151824439,6.88513656307523,6.91796436975733
"ALOXE3",1.30239091431231,5.16037151824439,10.7102124314504,10.7612779085114
"ITPRID1",15.6286909717477,25.8018575912219,0,0.768662707750814
"KCNIP1",0,0,11.4752276051254,13.8359287395147
"IKZF1",0,0,13.0052579524754,12.298603324013
"LINC00643",0,6.45046439780549,10.7102124314504,10.7612779085114
"KRTAP2-3",16.93108188606,25.8018575912219,0,0
"LINC00887",3.90717274293693,1.2900928795611,10.7102124314504,11.5299406162622
"LINC00685",18.2334728003724,18.0613003138554,2.29504552102508,1.53732541550163
"CICP22",0,14.1910216751721,7.65015173675025,9.22395249300977
"LINC02572",0,1.2900928795611,12.2402427788004,12.298603324013
"ELOVL2-AS1",3.90717274293693,0,11.4752276051254,11.5299406162622
"LINC00159",7.81434548587387,0,10.7102124314504,9.99261520076059
"NPM1P9",1.30239091431231,5.16037151824439,9.94519725777533,11.5299406162622
"ERVH48-1",5.20956365724924,19.3513931934165,5.35510621572518,5.3806389542557
"TMEM18-DT",10.4191273144985,6.45046439780549,7.65015173675025,7.68662707750815
"PTGES3P1",3.90717274293693,3.87027863868329,11.4752276051254,9.22395249300977
"LINC01135",7.81434548587387,7.74055727736658,8.41516691042528,7.68662707750815
"LURAP1L-AS1",0,5.16037151824439,11.4752276051254,10.7612779085114
"CDK2AP2P2",0,2.58018575912219,12.2402427788004,11.5299406162622
"GGTA2P",0,0,12.2402427788004,13.0672660317638
"KRT18P34",19.5358637146847,11.6108359160499,3.0600606947001,3.84331353875407
"A2MP1",1.30239091431231,1.2900928795611,12.2402427788004,11.5299406162622
"MANEA-DT",5.20956365724924,6.45046439780549,9.18018208410031,9.22395249300977
"KLF14",19.5358637146847,23.2216718320997,0,0
"HAL",10.4191273144985,10.3207430364888,6.1201213894002,6.14930166200652
"SLC7A4",10.4191273144985,15.4811145547332,4.59009104205015,4.61197624650489
"EDRF1",14.3263000574354,9.03065015692768,4.59009104205015,6.14930166200652
"ADTRP",13.0239091431231,19.3513931934165,2.29504552102508,3.07465083100326
