ENSGene,Control_1,Control_2,SHSY5Y_1,SHSY5Y_2
ENSG00000012223,0,0,0,0
ENSG00000012232,5870,5847,3401,3372
ENSG00000012504,0,0,0,0
ENSG00000012660,5662,5994,5633,5621
ENSG00000012779,4,3,8,8
ENSG00000012817,1289,1331,0,0
ENSG00000012822,4822,4735,1462,1455
ENSG00000012963,857,820,2515,2485
ENSG00000012983,1850,2190,2519,2484
ENSG00000013016,7186,7585,1385,1380
ENSG00000013275,1364,1435,5114,5096
ENSG00000013288,5629,5600,658,644
ENSG00000013293,0,0,0,0
ENSG00000013297,0,0,0,0
ENSG00000013306,1609,1719,4168,4143
ENSG00000013364,6685,6480,455,452
ENSG00000013374,1227,1295,3148,3136
ENSG00000013375,1214,1347,834,820
ENSG00000013392,429,441,292,288
ENSG00000013441,1044,1037,1220,1216
ENSG00000013503,409,394,446,452
ENSG00000013523,673,650,886,869
ENSG00000013561,183,269,575,574
ENSG00000013563,48,33,93,88
ENSG00000013573,203,164,2386,2395
ENSG00000013583,338,308,104,110
ENSG00000013588,2488,2393,47,42
ENSG00000013619,2488,2427,92,94
ENSG00000013725,0,0,23,22
ENSG00000013810,704,597,6311,6242
ENSG00000014123,963,1036,881,882
ENSG00000014138,0,0,0,0
ENSG00000014164,757,717,562,562
ENSG00000014216,5531,5842,2466,2466
ENSG00000014257,216,199,24,24
ENSG00000014641,0,0,0,0
ENSG00000014824,1298,1343,4904,4901
ENSG00000014914,557,593,129,124
ENSG00000014919,0,0,0,0
ENSG00000015133,2,4,1271,1258
ENSG00000015153,213,242,858,865
ENSG00000015171,2787,2830,3187,3174
ENSG00000015285,9,14,59,60
ENSG00000015413,3,0,0,0
ENSG00000015475,909,843,1992,1966
ENSG00000015479,0,0,0,0
ENSG00000015520,1,0,0,0
ENSG00000015532,1625,1669,1095,1100
ENSG00000015568,0,0,0,0
ENSG00000015592,2,0,1044,1046
ENSG00000015676,3310,3391,6232,6172
ENSG00000016082,74,80,8793,8722
ENSG00000016391,217,201,198,191
ENSG00000016402,2,2,577,576
ENSG00000016490,0,0,0,0
ENSG00000016602,0,0,0,0
ENSG00000016864,1902,1947,1705,1727
ENSG00000017260,3656,3621,3652,3635
ENSG00000017427,0,0,0,0
ENSG00000017483,35,39,17,17
ENSG00000017797,2642,2524,3268,3264
ENSG00000018189,1500,1499,4119,4118
ENSG00000018236,2,2,3407,3405
ENSG00000018280,10,2,5,3
ENSG00000018408,2570,2774,333,329
ENSG00000018510,671,655,3901,3887
ENSG00000018607,0,0,8,6
ENSG00000018610,367,348,1076,1073
ENSG00000018625,3,0,0,0
ENSG00000018699,439,383,1058,1048
ENSG00000018869,70,51,90,90
ENSG00000019102,0,2,17,21
ENSG00000019144,4999,4842,2485,2439
ENSG00000019169,0,0,0,0
ENSG00000019186,0,0,1,1
ENSG00000019485,408,393,241,239
ENSG00000019505,0,0,150,158
ENSG00000019549,1659,1901,188,190
ENSG00000019582,30,38,19,16
ENSG00000019991,359,339,473,467
ENSG00000019995,624,665,797,819
ENSG00000020129,1609,1578,1968,1941
ENSG00000020181,11912,12840,3447,3423
ENSG00000020219,0,0,0,0
ENSG00000020256,618,587,881,871
ENSG00000020426,260,274,358,366
ENSG00000020577,5368,5587,416,415
ENSG00000020633,405,409,3,3
ENSG00000020922,377,446,1855,1843
ENSG00000021300,16,7,86,86
ENSG00000021355,673,603,259,262
ENSG00000021461,1,5,1,0
ENSG00000021488,7,3,2,1
