"","C_1","C_2","S_1","S_2"
"CCDC85C",46.8944681751535,57.0053767404927,222.185506311766,224.302297217633
"VIP",0,0,269.361880939607,280.186487309399
"TSSK5P",63.8285816828478,80.3257581343307,201.640956070609,203.632802252186
"NBPF2P",233.169716759791,265.593232540932,27.3927336548752,22.9661055171638
"DNAH11",108.117801626048,114.010753480985,161.312764856488,165.35595972358
"KCNS3",257.919574963344,279.844576726055,5.32636487733685,5.35875795400489
"MIR29B2CHG",251.406454383462,226.725930217869,35.001826336785,35.2146951263179
"ZBED9",13.0262411597649,15.5469209292253,259.470060453124,260.282529194523
"MAP3K7CL",261.827447311274,277.253423237851,4.56545560914587,4.59322110343277
"ZNF200",109.420425742025,141.21786510713,152.942762906387,143.92092790756
"TRPC6",254.011702615415,285.026883702464,3.8045463409549,4.59322110343277
"KLF8",268.340567891156,278.548999981953,0,0
"CHRNA7",0,0,264.796425330461,281.717561010543
"GDF6",216.235603252097,186.563051150704,71.525471209952,71.96046395378
"CNTN2",0,1.29557674410211,270.122790207798,274.827729355394
"TMEM171",278.761560818968,240.977274402992,12.9354575592466,13.0141264597262
"IDI1",283.972057282874,133.444404642517,63.1554692598513,65.0706322986309
"MIR17HG",10.4209929278119,7.77346046461265,260.230969721315,267.172360849673
"UBE3A",121.144042785813,102.350562784067,160.551855588297,161.528275470719
"ASPDH",15.6314893917178,6.47788372051054,257.948241916742,264.875750297956
"PUS10",148.499149221319,115.306330225088,137.724577542567,143.155391056988
"ASRGL1",5.21049646390594,9.06903720871476,273.166427280561,257.220381792235
"MCAM",212.327730904167,191.745358127112,69.2427434053791,70.4293902526358
"BTBD8",126.354539249719,97.1682558076581,159.030037051915,160.762738620147
"ZNF256",156.314893917178,129.557674410211,128.593666324275,128.610190896117
"COMTD1",121.144042785813,142.513441851232,139.246396078949,140.093243654699
"BST2",225.353972063932,257.81977207632,28.9145521912572,30.6214740228851
"MTFR2",24.7498582035532,37.5717255789611,238.925510211967,241.14410793022
"GDNF-AS1",281.366809050921,234.499390682482,12.9354575592466,13.0141264597262
"ZNF613",110.723049858001,161.947093012764,135.441849737994,133.20341199955
"TNR",10.4209929278119,6.47788372051054,266.318243866843,257.985918642807
"NDUFA4L2",203.209362092332,224.134776729665,56.3072858461325,57.4152637929096
"ISL2",140.68340452546,148.991325571742,127.071847787894,124.016969792685
"SLC45A1",177.156879772802,171.016130221478,95.8745677920634,95.692106321516
"UNC5C-AS1",0,0,268.600971671416,271.000045102533
"FAM72B",36.4734752473416,20.7292279056337,237.403691675585,244.971792183081
"MTLN",187.577872700614,161.947093012764,94.3527492556814,95.692106321516
"VSIG10L",160.222766265108,183.971897662499,99.6791141330183,95.692106321516
"NRGN",18.2367376236708,23.3203813938379,237.403691675585,259.516992343951
"MTERF2",141.986028641437,125.670944177904,130.115484860657,140.093243654699
"WDR31",134.170283945578,147.69574882764,125.550029251512,130.141264597262
"PTPN3",166.73588684499,164.538246500968,104.244569742164,101.816401126093
"LINC01291",195.393617396473,205.996702312235,67.7209248689971,68.1327797009194
"ZNF501",101.604681046166,106.237293016373,162.073674124679,166.121496574152
"NMB",74.2495746106597,85.5080651107391,189.466407779554,186.790991539599
"KTN1-AS1",93.788936350307,124.375367433802,155.22549071096,162.293812321291
"SLC66A1L",201.906737976355,183.971897662499,75.3300175509069,74.2570745054964
"ASPHD2",69.0390781467537,80.3257581343307,190.988226315936,194.44636004532
"ANXA9",104.209929278119,82.9169116225349,173.487313147543,173.776865079873
"TEX22",66.4338299148008,40.1628790671653,213.815504361665,213.584781309624
"TNFRSF10A",243.590709687603,208.587855800439,41.0891004823129,39.8079162297506
"PER2",222.748723831979,172.31170696558,68.4818341371881,68.8983165514915
"ATP6V0E2-AS1",54.7102128710124,44.0496092994717,216.859141434429,216.646928711912
"CCDC152",15.6314893917178,12.9557674410211,243.490965821113,259.516992343951
"HMCN2",9.1183688118354,9.06903720871476,256.42642338036,256.454844941663
"FAM89B",145.893900989366,187.858627894806,111.092753155883,85.7401272640783
"PRR5-ARHGAP8",233.169716759791,247.455158123503,23.5881873139204,26.0282529194523
"FAHD2B",110.723049858001,81.6213348784328,169.682766806588,167.652570275296
"ZNF543",72.9469504946832,64.7788372051054,196.314591193273,195.211896895893
"NTNG1",141.986028641437,165.83382324507,111.092753155883,110.237306482386
"STEAP1B",216.235603252097,181.380744174295,67.7209248689971,63.5395585974866
