"","Fibroblast_1","Fibroblast_2","SH.SY5Y_1","SH.SY5Y_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CLU",6101.70143355318,6187.28545037502,540.865727788243,542.675871672075,3343.13212084713,-3.50354499085737,0.084846418257136,-41.2927859870231,0,0
"COMMD9",1120.05618630859,1194.62600647358,830.806478611078,831.693049786381,994.295430294906,-0.477494681565422,0.121512089725422,-3.92960636792936,8.50850326800257e-05,0.000161968638762335
"CYP39A1",11.7215182288108,24.5117647116608,10.7102124314504,9.22395249300977,14.0418619662329,-0.862432608544636,0.94086926379916,-0.916633842476899,0.359334544198445,0.420533057322373
"CYP7A1",3.90717274293693,1.2900928795611,0,0,1.29931640562451,-4.20303645809593,3.36974130575161,-1.24728757395175,0.212292072034338,0.266467264166078
"FABP3",4537.52994546409,4245.69566663557,77.2665325411776,76.8662707750814,2234.33960385398,-5.83248171631818,0.135756735495058,-42.9627428432862,0,0
"HNF1A",1.30239091431231,2.58018575912219,3.0600606947001,3.07465083100326,2.50432204978447,0.659348378091637,2.12663144434228,0.310043557310213,0.756527833305029,0.79856238165647
"HNF4A",0,1.2900928795611,0,0,0.322523219890274,-2.19797152948353,4.99713882615333,-0.439846001071672,0.660048647867275,NA
"INSIG1",10475.1301238139,9956.93684445255,1440.52357203007,1443.54856515603,5829.03477636314,-2.82464689951797,0.0714772536068669,-39.5181229969166,0,0
"LDLR",10822.8684979353,11581.16377982,852.991918647653,841.685664987142,6024.67746534752,-3.72468044814514,0.0755209334689936,-49.3198412288477,0,0
"LIMA1",11471.4591732628,12430.0448945712,1653.9628054854,1648.01284541775,6800.86992968429,-2.85571178057014,0.0719679754842212,-39.6803128246431,0,0
"LPL",0,1.2900928795611,11.4752276051254,11.5299406162622,6.07381527523717,4.1504222196759,1.96285635320361,2.11448087523161,0.0344742165240615,0.0503145220799743
"LRP5",2577.43161942406,2765.95913377899,2303.4606879355,2302.91347242144,2487.44122839,-0.214155004228504,0.0875504240633712,-2.44607615005375,0.0144420493738329,0.0222338439598602
"LRP5L",269.594919262648,247.697832875731,361.852177148287,365.883448889388,311.257094544013,0.492498755265305,0.204683776679197,2.40614455750053,0.0161218839100727,0.0246517362777238
"LRP6",157.58930063179,141.910216751721,113.222245703904,116.068068870373,132.197457989447,-0.385316676264794,0.30545022332228,-1.26147125405191,0.207139110461445,0.261273720911785
"MALL",9.11673640018618,1.2900928795611,0,0,2.60170731993682,-5.20461116562912,2.66039161406493,-1.95633272113528,0.0504259720061452,0.0717642624897243
"MALRD1",3.90717274293693,10.3207430364888,2.29504552102508,3.07465083100326,4.89940303286351,-1.40641680747249,1.56940886366624,-0.896144299954451,0.370175699700449,0.431300273287537
"MED13",2600.87465588169,2737.57709042865,3997.96929762568,3991.66544134998,3332.0216213215,0.581681562492819,0.0793840344556449,7.32743764513289,2.34594760194205e-13,7.03328756776413e-13
"MSR1",1.30239091431231,1.2900928795611,1.53003034735005,1.53732541550163,1.41495988918127,0.242667427197004,2.73798945955468,0.0886297886758384,0.929376133299041,0.94269733922306
"MTTP",1.30239091431231,1.2900928795611,0.765015173675025,0.768662707750814,1.03154041882481,-0.757324963701439,3.16129272924552,-0.239561795937253,0.810669984808728,0.845310598108512
"NPC1L1",1.30239091431231,0,0,0,0.325597728578078,-2.20485352783589,4.9966445197704,-0.441266837997354,0.659019830780879,NA
"NR5A2",6.51195457156155,0,1.53003034735005,1.53732541550163,2.39482758360331,-1.0850540410797,2.36740582982918,-0.458330391607591,0.646715092747453,0.700140816880593
"NUS1",1069.26294065041,1197.2061922327,1546.09566599723,1501.96693094509,1328.63293245636,0.427381275889233,0.112396836538475,3.80243153678914,0.000143282868877813,0.000268185612190961
"PLA2G10",22.1406455433093,20.6414860729776,29.070576599651,26.9031947712785,24.6889757468041,0.387818303511448,0.697819336224794,0.555757462396424,0.578376668465699,0.636256483684484
"PLA2G12B",1.30239091431231,1.2900928795611,0,0,0.648120948468352,-3.19996773994302,4.4627536392464,-0.717038850588083,0.473350124972245,NA
"RALY",3153.0884035501,3231.68266330055,4089.77111846669,4045.47183089254,3630.00350405247,0.349540078992121,0.0761772199167113,4.58851188549927,4.46416894824805e-06,9.35234308832428e-06
"RELCH",1306.29808705525,1403.62105296247,1016.70516581411,1013.09744881557,1184.93043866185,-0.416946786502041,0.113701305960855,-3.66703603778824,0.00024537822387248,0.000450151626080168
"RORA",76.8410639444264,95.4668730875212,82.6216387569027,83.015572437088,84.4862870564846,-0.0571143516179793,0.383373341024055,-0.148978412180193,0.881570667435962,0.90490730180904
"SERAC1",450.62725635206,427.020743134723,407.753087568789,406.622572400181,423.005914863938,-0.107911802695901,0.1756280468672,-0.614433768528424,0.538928726923159,0.60001084877502
"SOAT1",1196.89725025301,1242.35944301734,910.36805667328,910.865308684715,1065.12251465709,-0.421546061870097,0.117135091449475,-3.59880251642547,0.00031968582833844,0.000579769792685538
"SOAT2",14.3263000574354,6.45046439780549,0.765015173675025,0.768662707750814,5.57761058416669,-3.75956533998842,1.72206551285268,-2.18317207558528,0.0290231403540928,0.0428261525433459
"STAR",6.51195457156155,6.45046439780549,30.600606947001,29.9778456022818,18.3852178796625,2.22448663789356,0.878454998930164,2.53227159114886,0.0113326175954049,0.0176807989381184
"STARD3",1443.04913305804,1437.16346783106,1152.11285155459,1125.32220414719,1289.41191414772,-0.338758200365187,0.108195722492323,-3.1309759070117,0.00174226453342826,0.00296143122855741
"STARD5",18.2334728003724,21.9315789525387,8.41516691042528,6.91796436975733,13.8745457582734,-1.38931002735307,0.933399394481389,-1.48844110631226,0.136634602783896,0.180087078510142
"VPS4B",1924.9337713536,1820.32105306071,1504.78484661877,1499.66094282184,1687.42515346373,-0.31793659490885,0.0987808161354837,-3.21860668242284,0.0012881504314495,0.00221953402939417
