"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPL7AP28",28.8029508482441,-8.67401724981994,1.58719846182207,-5.46498592234164,4.62943542031635e-08,1.08360434369698e-07
"CA13",26.3311604987449,-2.6385157126843,0.722419712678462,-3.65233072461668,0.000259870897181342,0.000475608547168957
"LINC00899",26.7130096015392,-2.94659026471818,0.731553895707518,-4.02785123831295,5.62889391117722e-05,0.000108588294170188
"ZNF300P1",28.386052306136,-7.20047405698099,1.57559277919333,-4.57000955581143,4.87701976550488e-06,1.01858464949994e-05
"C5AR1",27.1507712204188,-3.71862803690233,0.810430605893879,-4.58845952985796,4.46528849405848e-06,9.35353475371105e-06
"MYO15A",24.7721263493894,-1.98888410248011,0.726632058800509,-2.7371268283473,0.00619783932341528,0.009954993670218
"PPARGC1A",27.1575141610843,-4.06226135788471,0.822342900094069,-4.93986311235864,7.81774335084486e-07,1.71945808172428e-06
"VWF",27.5556476908365,-4.79436220426701,0.91360720859717,-5.24772808177453,1.53986350533653e-07,3.51708469266214e-07
"DLGAP4-AS1",24.2264389662077,-1.683809704966,0.7156345487778,-2.35289046321436,0.018628120606141,0.0282860974854447
"CADPS2",27.082157250698,-4.49419289974201,0.872566218746239,-5.15054651806205,2.59728499865805e-07,5.86521585124429e-07
"C8orf34",27.6014247973394,-6.14950565293026,1.20323405428673,-5.11081416871605,3.20773394175895e-07,7.2130482280993e-07
"SDR42E1",27.8692007841391,-8.62627694138417,1.58122468394335,-5.4554403488513,4.88516295957932e-08,1.14236001246723e-07
"GLDN",27.6260208668419,-6.15066268210445,1.20792375770261,-5.09192955505951,3.54437800170917e-07,7.94689319881565e-07
"NPIPB2",26.6585157679244,-3.8530068982409,0.806688900304718,-4.77632318578509,1.7852938610608e-06,3.83961389594234e-06
"LINC02519",25.9553941868897,-3.36211628306867,0.767448243081686,-4.38090296430689,1.1818849990327e-05,2.39908387995356e-05
"LINC01940",26.9957530472105,-5.09621357504362,0.969750223515186,-5.25518164519796,1.47878445341207e-07,3.38076122718409e-07
"LINC02709",25.9553941868897,-3.36211628306867,0.767448243081686,-4.38090296430689,1.1818849990327e-05,2.39908387995356e-05
"GABRR2",23.4085857851352,-1.68261550950668,0.750868336769726,-2.24089287976289,0.0250330145800717,0.0372784497700954
"GPR26",26.9748254096857,-6.11577290287261,1.2107653571424,-5.05116277633414,4.39128648725239e-07,9.78761282145597e-07
"LINC00472",25.3650949801997,-3.0790938803326,0.756564944851854,-4.06983419108261,4.70466090047885e-05,9.12770855994205e-05
"MALINC1",23.9050810293121,-1.99552827381528,0.729339441661062,-2.73607618048256,0.00621766300605265,0.00998589016499274
"ZNF566-AS1",23.7900960297985,-1.9152892587641,0.730782053733006,-2.62087615449826,0.00877041161982291,0.0138603024984714
"TNFSF9",25.3112596306281,-3.3218979711112,0.776913220490737,-4.27576450431996,1.90482494372819e-05,3.80830451374686e-05
"B3GNT8",23.9960638826131,-2.22931512412076,0.737754375682433,-3.02175791510368,0.00251311444959206,0.00421017319114929
