"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"STT3A",5702.40488389867,-1.65761838138103,0.068703305255444,-24.1271999246307,1.29584381759937e-128,2.08217704807074e-127
"INPPL1",5550.73802536744,-1.36803916377624,0.0689001405770625,-19.8553900226972,9.89910337888703e-88,1.10030348028153e-86
"MGAT1",6026.05985456046,-2.59153882633327,0.0693179521402371,-37.3862577632174,6.53449434610663e-306,2.66783298015084e-304
"CD46",5781.88496652663,-1.92145593732965,0.0740176245558847,-25.9594380238305,1.42272985451696e-148,2.68484931656844e-147
"NISCH",5428.19655410186,-1.16711937322571,0.0681059087213317,-17.13682990416,7.88331578809012e-66,6.77582162676734e-65
"SQLE",5698.84190806226,-1.79753370169435,0.0699357507045182,-25.702643978028,1.09197884645759e-145,2.00933572353583e-144
"SEC24D",5798.25363005561,-2.05795138045011,0.0739844156266403,-27.8160118319443,2.7774055284748e-170,6.07097239325816e-169
"MALAT1",5417.83406523066,-1.18089678849043,0.0682692993915524,-17.2976257119251,4.90177953746015e-67,4.27370758029893e-66
"MTCH1",5288.73873735863,-0.918567526665765,0.0691840442097199,-13.2771585870476,3.14087907387621e-40,1.88231087476053e-39
"SHMT2",5364.69999853799,-1.08457206104273,0.0690119813262206,-15.7157067541061,1.18057317478678e-55,8.97129968705983e-55
"FAM120A",5198.32674286849,-0.750039074675214,0.0686782707429774,-10.9210535815931,9.14290015414739e-28,4.2860341213922e-27
"ANO6",5567.13357596301,-1.70454486881773,0.0708209631511367,-24.0683661019988,5.3621225630876e-128,8.59153675579998e-127
"C6orf89",5458.93178876668,-1.47536358056753,0.0689607272119009,-21.394257865554,1.51115265323759e-101,1.92973057613438e-100
"JUND",5327.81751142405,-1.17974573030877,0.0700966129377925,-16.8302815337988,1.46404301889081e-63,1.22549564479258e-62
"MEG3",6415.59160713636,-11.4448805894124,0.425046409997282,-26.9261904587916,1.08426044495707e-159,2.20276069343911e-158
"ESYT1",5500.57640567526,-1.68684593591007,0.0686334970101966,-24.5775897978717,2.19368364655551e-133,3.65269833853909e-132
"CLIC1",5634.89877026046,-2.10302284152714,0.0687516842125131,-30.5886737992723,1.73147663925625e-205,4.58773779112763e-204
"TRAM1",5777.42202934265,-2.66114612780735,0.219433696157051,-12.1273358395364,7.56713829271292e-34,4.05043418731283e-33
"RAI14",5765.98099487209,-2.69684327209136,0.0752148853350872,-35.8551802622147,1.52711382057687e-281,5.6018360969066e-280
"CTSZ",6273.52973555136,-10.1894833682776,0.280822878076674,-36.2843776762929,2.85347728220812e-288,1.06513094859391e-286
"C1orf198",5538.46010736812,-2.11804923117274,0.0724212450506392,-29.2462416200071,5.0126508351591e-188,1.20758669197648e-186
"PKD2",5668.26727245205,-2.54780356422223,0.0696288314183139,-36.5912153388819,3.9454666253776e-293,1.51605894039396e-291
"CD276",5171.32089039795,-1.24681319560486,0.0695457494997549,-17.9279568424129,7.13539994727028e-72,6.67700455671837e-71
"SLC38A10",5012.71618181023,-0.902936397699825,0.0694369792793295,-13.0036820015962,1.16591712449081e-38,6.80712837482016e-38
"GNG12",5593.23566391284,-2.4156858306058,0.0749095789141659,-32.2480230915966,3.74977992752436e-228,1.12123701213158e-226
"DAP",5602.75563398725,-2.45761575785749,0.0693023800255186,-35.4622129420742,1.8805692623841e-275,6.73830977897291e-274
"SDC3",5514.90937776826,-2.20917529907348,0.0692445378589509,-31.9039648090873,2.3525239555085e-223,6.865166127209e-222
"RHOB",5240.2117680636,-1.5202749709864,0.0691282020479602,-21.9921092397521,3.42683965955436e-107,4.59364205034501e-106
