"","Fibroblast_1","Fibroblast_2","SH-SY5Y_1","SH-SY5Y_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LINC01237",179.729946175099,130.299380835671,340.431752285386,334.368277871604,246.20733929194,1.1223440956598,0.245174732156671,4.57773150514796,4.70045465274584e-06,9.82675059357895e-06
"LINC01250",3.90717274293693,15.4811145547332,667.858246618297,662.587254081202,337.458446999292,6.0969732404463,0.420008633156087,14.5163045688646,9.55229016729113e-48,6.50244874554199e-47
"LINC01285",6.51195457156155,3.87027863868329,46.6659255941765,49.9630760038029,26.7528087020561,3.21932949533794,0.813691204142297,3.95645114381125,7.60714372960323e-05,0.000145233508434781
"LINC01297",0,0,18.3603641682006,17.6792422782687,9.00990161161734,6.2398654990058,1.8317307633446,3.4065407558108,0.000657917268696273,0.0011638440674448
"LINC01315",23.4430364576216,18.0613003138554,66.5563201097272,64.5676674510684,43.1570810830681,1.65991952577217,0.558164797016215,2.97388788158194,0.00294052496934287,0.00489482270698023
"LINC01322",0,0,26.7755310786259,28.4405201867801,13.8040128163515,6.8553600595011,1.70533560600942,4.01994776590811,5.821104628795e-05,0.000112168868862553
"LINC01337",5.20956365724924,12.900928795611,58.906168372977,56.8810403735603,33.4744252998494,2.67519781481221,0.699583214921783,3.82398799421068,0.000131310311605463,0.000246727993396083
"LINC01399",0,5.16037151824439,49.7259862888766,51.5004014193046,26.5966898066064,4.28914910491638,0.987363058880183,4.3440445399901,1.39883134941198e-05,2.82561270675703e-05
"LINC01405",0,0,517.915272577992,503.474073576783,255.347336538694,11.0646687673788,1.45869380578021,7.58532649109364,3.31650865817597e-14,1.03107419092917e-13
"LINC01410",50.7932456581801,81.2758514123491,248.629931444383,247.509391895762,157.052105102669,1.90890346803888,0.316446611020822,6.03230814158814,1.61634190396678e-09,4.07601349620962e-09
"LINC01411",20.838254628997,30.9622291094663,74.2064718464775,79.1722588983339,51.2948036208187,1.56559811693994,0.515612945581282,3.03638248487914,0.00239435421604801,0.00401755700507403
"LINC01414",1.30239091431231,1.2900928795611,58.906168372977,63.7990047433176,31.324414227542,5.56472814195181,1.17925958410163,4.71883223759516,2.37202327583152e-06,5.06301914248115e-06
"LINC01492",3.90717274293693,2.58018575912219,45.9009104205015,29.9778456022818,20.5915286312106,3.54891018915555,0.975735252597994,3.63716508110803,0.000275655273027577,0.00050335761284812
"LINC01494",0,0,39.0157738574263,39.2017980952915,19.5543929881795,7.3577721212506,1.63172409823169,4.50920111385514,6.50722001038943e-06,1.34614646353781e-05
"LINC01515",58.607591144054,73.5352941349825,729.824475685974,734.072885902028,399.01006171676,3.4691925908806,0.225215158619907,15.403903592189,1.54080308031698e-53,1.13531451262922e-52
