"","Fibroblast_1","Fibroblast_2","SH-SY5Y_1","SH-SY5Y_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BST2",225.31362817603,256.728483032658,29.070576599651,30.7465083100326,135.464799029593,-3.0106238454377,0.332360119238296,-9.05831858628966,1.32476835434001e-19,4.9668577770664e-19
"CARMIL1",1841.58075283761,1604.875542174,137.702731261505,136.053299271894,930.053081386253,-3.65409809042957,0.147762584720161,-24.7295220055188,5.1497109046477e-135,8.71142330722476e-134
"CD164",5647.16700445818,5637.70588368199,2342.47646179293,2349.03323488649,3994.0956462049,-1.2662660505714,0.0738331747643919,-17.1503670892139,6.24566850665523e-66,5.3791295089773e-65
"CD4",88.5625821732371,113.528173401377,21.4204248629007,21.5225558170228,61.2584340636343,-2.23462561519905,0.468811382485411,-4.76657713247521,1.87382014079766e-06,4.0254188301679e-06
"CFTR",20.838254628997,19.3513931934165,0,0,10.0474119556034,-7.15440228309275,1.80433864103494,-3.96511060639322,7.33619215984843e-05,0.000140281341637993
"CHMP2B",1179.96616836695,1266.871207729,408.518102742464,411.234548646686,816.647506871275,-1.577691098738,0.134221169457519,-11.7544132949708,6.7024675588412e-32,3.43392787388715e-31
"CHMP4B",3848.56515179288,3724.49814329289,1889.58747897731,1887.835610236,2837.62159607477,-1.00346242274319,0.0822048541962942,-12.2068511957585,2.85734918602358e-34,1.54502446913163e-33
"CLCN6",2581.338792167,2411.18359189969,1081.73145557649,1081.5084298054,1788.94056736214,-1.20654841136971,0.0981633383079155,-12.2912324719953,1.00954994409994e-34,5.50439687017446e-34
"CLIP1",5704.47220468792,5768.00526451766,1099.32680457101,1104.56831103792,3419.09314620363,-2.38005425332089,0.0794143751015005,-29.9700683947825,2.41008679185022e-197,6.08215662299912e-196
"CLSTN1",9734.06969357021,9630.54334592359,4788.22997203198,4786.46268116432,7234.82642317253,-1.01612199252453,0.0638828239727615,-15.9060280891432,5.7550732650427e-57,4.44291656061296e-56
"CORO1C",10071.3889403771,9682.14706110603,4542.6601012823,4555.86386883908,7213.01499290113,-1.11839813128389,0.0651981171025823,-17.1538409540909,5.88321225129683e-66,5.06953205865172e-65
"CPTP",945.535803790738,990.791331502923,471.249346983816,465.809600896994,718.346520793617,-1.04713080051094,0.139248216960814,-7.51988659794199,5.48237738486857e-14,1.68743561987328e-13
"CTNS",1621.47668831883,1572.62322018498,481.959559415266,478.108204221007,1038.54191803502,-1.73418531640121,0.120525149200077,-14.3885763918234,6.10394285670338e-47,4.08952132064103e-46
"CTSH",489.698983781429,417.990092977795,169.068353382181,164.493819458674,310.31281240002,-1.4441566135898,0.210212195734095,-6.86999442894627,6.42044115608695e-12,1.81167590289052e-11
"CTSS",179.729946175099,153.521052667771,44.3708800731515,45.3510997572981,105.74324466833,-1.89300880383215,0.351878852082972,-5.37971745851263,7.46028306201994e-08,1.72953108825207e-07
"CUBN",82.0506276016756,149.650774029087,36.7207283364012,36.8958099720391,76.3294849848008,-1.65441706009385,0.441588643008225,-3.74651179619,0.000179310575315546,0.000332722693232736
"CYBA",2303.92952741848,2204.76873116992,705.343990128373,705.632365715248,1479.918653608,-1.67600000678113,0.104899228951485,-15.9772385701354,1.84123753733065e-57,1.42857827017012e-56
"DENND2B",2341.69886393353,2287.33467546183,465.89424076809,465.809600896994,1390.18434526511,-2.31275882197599,0.109215050511129,-21.1761914786673,1.58327403416822e-99,1.98452591854709e-98
"DGKQ",1136.98726819465,1091.41857610869,556.931046435418,552.668486872836,834.501344402897,-1.00595039198648,0.130329121061988,-7.71853890971935,1.17670741754164e-14,3.7133405387453e-14
"DNAJC13",6372.59874373014,7060.67832983788,2000.51467916019,2009.28431806063,4360.76901769721,-1.74423328579384,0.0795784419018289,-21.9184146372908,1.73391257837061e-106,2.30970754753306e-105
"DTX3L",2286.99844553242,2955.60278707447,436.058648994764,448.130358618725,1531.6975600551,-2.56792241632209,0.130372626397025,-19.6967913226045,2.29725638993811e-86,2.52045235960651e-85
"DYSF",79.445845773051,51.6037151824439,1.53003034735005,1.53732541550163,33.5292291795866,-5.41681242923195,0.933468802617725,-5.80288533911535,6.51833682478415e-09,1.59589783237904e-08
"EEA1",2349.51320941941,2736.28699754909,554.636000914393,564.198427489098,1551.158658843,-2.18452987223731,0.11391892610242,-19.1761803501667,5.85250507534431e-82,6.12439594575771e-81
"EHBP1",1833.76640735173,1999.6439633197,787.965628885276,782.498636490329,1350.96865901176,-1.28747058398847,0.110119626417384,-11.6915633105092,1.40771276553619e-31,7.17114385418914e-31
"EHBP1L1",4627.39491855164,4225.05418056259,1337.24652358394,1329.78648440891,2879.87052677677,-1.73081339646447,0.0870186455533021,-19.8901440657828,4.9532558188149e-88,5.52008509361891e-87
"EHD1",6642.19366299279,7065.83870135613,1151.34783638091,1139.15813288671,3999.63458340413,-2.58129398575024,0.0788833389850007,-32.7229300757801,7.37150101970852e-235,2.29299584832838e-233
"EHD4",2255.74106358892,2101.56130080503,676.273413528722,672.579869281963,1426.53891180116,-1.69167278444558,0.107829209698711,-15.6884464717152,1.8144191582909e-55,1.37326626490252e-54
"EPHA4",1527.70454248834,1528.7600622799,0,0,764.11615119206,-13.4033237518086,1.44881970738391,-9.25120198427631,2.21982139275613e-20,8.51432848567527e-20
"F2R",6071.74644252399,6225.98823676185,2510.77980000143,2500.4597883134,4327.24356690017,-1.29515954854702,0.0727247943984264,-17.8090506719267,6.01208767015274e-71,5.53738053090424e-70
