"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"COL5A1",36528.1534310567,-4.97064367909761,0.0569710544929116,-87.2485812899262,0,0
"HDLBP",31759.3303428689,-1.94324357215887,0.0550445828132227,-35.3030847513676,5.26600199495105e-273,1.8710832192939e-271
"PSAP",31745.4430402611,-2.21318697858611,0.0531452268287812,-41.6441345845859,0,0
"MMP2",31830.0859914298,-2.43749995667228,0.0531232912587185,-45.8838279578968,0,0
"MRC2",33731.4900818223,-3.9171421553835,0.0543456038621385,-72.0783628666697,0,0
"FAT1",32673.8381473774,-5.1159586454391,0.0576628641727869,-88.7218961255396,0,0
"ITGB1",29135.1446734035,-2.27007724970971,0.0536538931734523,-42.3096464290299,0,0
"TPM4",27984.7885500965,-1.74805085553365,0.0551202408467728,-31.7134110569837,1.01508990554841e-220,2.90729965528402e-219
"SULF1",31225.5599443646,-18.7561026579034,1.44381764478875,-12.9906312792344,1.38281719216085e-38,8.06239862398211e-38
"PLEC",27462.1661555885,-3.00127816479225,0.0594983212591755,-50.4430730359373,0,0
"LUM",29169.8557315905,-7.73678911385631,0.0846993063174864,-91.3441850970511,0,0
"CALU",26061.783406643,-2.53300521903854,0.0587425201230301,-43.1204724232706,0,0
"CAVIN1",27790.3737245046,-5.12954254234859,0.0615847819176381,-83.2923716318214,0,0
"APLP2",25384.9027415057,-2.36382682540113,0.0543932165568179,-43.4581180344782,0,0
"TIMP2",24922.054878212,-2.20662445268781,0.0551936666052486,-39.9796677482915,0,0
"B2M",26118.9396955684,-4.05529339207445,0.0587784234157728,-68.9928915477894,0,0
"LAMB1",23519.9262177409,-1.98338516681425,0.0542969162374083,-36.5285048259846,3.91330560776986e-292,1.49692753248566e-290
"AEBP1",25578.3717884751,-3.86858557355302,0.0565879343705015,-68.3641418720819,0,0
"UBC",22478.7099417852,-1.53004815157283,0.0601284640637904,-25.4463202311237,7.75362674614989e-143,1.38472761994332e-141
"PDGFRB",25119.9851495924,-4.39842019175674,0.0590432191211456,-74.4949251959317,0,0
"CTSB",24434.6957245033,-3.51063470905197,0.0553588938328117,-63.4159114460337,0,0
"FADS2",22818.4020315998,-2.20517672413854,0.0591193201681174,-37.3004411733371,1.61429519067313e-304,6.55913624841924e-303
"VIM",24289.9214363935,-3.64609228939819,0.0613918116750956,-59.3905309179412,0,0
"EPAS1",23293.5450861068,-3.13289582062516,0.0554006234223393,-56.549829714766,0,0
"CAV1",23872.2489154614,-5.88646565339655,0.0678401923282108,-86.7695896986529,0,0
"DCN",23872.3446739038,-8.79870964342809,0.103084912692827,-85.3540000528156,0,0
"IGFBP4",22792.2767513858,-3.94325360691943,0.056962508726653,-69.2254202819962,0,0
"LOXL2",22848.7411149306,-6.30752521868814,0.0666434721206082,-94.6458072783646,0,0
"COL4A2",21586.7576923236,-3.41170639187803,0.061490623308492,-55.4833600362427,0,0
"TLN1",20075.2278770615,-2.18446472245638,0.0560398502280897,-38.9805596118711,0,0
"LGALS1",20744.3950900246,-3.11704418940659,0.0558828318508843,-55.7782074774591,0,0
"WNT5A",22050.0689414471,-7.61434608338563,0.0821781004121548,-92.6566329131088,0,0
"TNS3",21374.8142309306,-5.58589613595239,0.0626998013746961,-89.089534790882,0,0
